canonical_rxn,catalyst1,solvent1,solvent2,reagent1,reagent2,Yield,dataset
CC1(C)CC(CNc2ccc(Cl)c(Br)n2)CCO1.OB(O)c1cc(F)ncc1Cl>>CC1(C)CC(CNc2ccc(Cl)c(-c3cc(F)ncc3Cl)n2)CCO1,Cl[Pd]Cl,COCCOC,ClCCl,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],54.9,test
COc1cc([N+](=O)[O-])ccc1Br.OB(O)c1ccnc(Cl)c1>>COc1cc([N+](=O)[O-])ccc1-c1ccnc(Cl)c1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,C1CCOC1,,,O=C([O-])[O-].[Na+].[Na+],28.05,train
CC(C)(C)c1ccc(B(O)O)cc1.CCOC(=O)c1c(Br)c2ccccc2n1Cc1cccc(-c2ccc(C(=O)OC)cc2)c1>>CCOC(=O)c1c(-c2ccc(C(C)(C)C)cc2)c2ccccc2n1Cc1cccc(-c2ccc(C(=O)OC)cc2)c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCOC(C)=O,COCCOC,,O=C([O-])[O-].[Na+].[Na+],76.25,train
CC(C)(C)OC(=O)c1cc(Br)c(Br)o1.OB(O)c1ccncc1>>CC(C)(C)OC(=O)c1cc(Br)c(-c2ccncc2)o1,CC(=O)[O-].CC(=O)[O-].[Pd+2],COCCOC,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],54.85,test
CN1C(=O)C(c2ccc(OC(F)(F)F)c(F)c2)(c2ccc(F)c(Br)c2)N=C1N.OB(O)c1cncnc1>>CN1C(=O)C(c2ccc(OC(F)(F)F)c(F)c2)(c2ccc(F)c(-c3cncnc3)c2)N=C1N,[Pd].[Pd],COCCOC,O,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],29.0,test
CN1C(=O)[C@]2(N=C1N)c1cc(Br)ccc1O[C@H]1CCCO[C@@H]12.OB(O)c1cccnc1F>>CN1C(=O)[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1O[C@H]1CCCO[C@@H]12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[K+].[K+],7.7,train
COC(=O)c1c(Br)[nH]c2ccccc12.OB(O)c1ccccc1>>COC(=O)c1c(-c2ccccc2)[nH]c2ccccc12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Cs+].[Cs+],80.3,test
CN(Cc1cc(Br)c(S(=O)(=O)c2cccc(F)c2)s1)C(=O)OC(C)(C)C.OB(O)c1cccnc1Cl>>CN(Cc1cc(-c2cccnc2Cl)c(S(=O)(=O)c2cccc(F)c2)s1)C(=O)OC(C)(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[Na+].[Na+],31.1,train
CCn1c(-c2nc(Br)cnc2N)nc2cnccc21.OB(O)c1cccc(-c2ccccc2)c1>>CCn1c(-c2nc(-c3cccc(-c4ccccc4)c3)cnc2N)nc2cnccc21,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CN(C)C=O,,,O=C([O-])[O-].[K+].[K+],5.4,test
CCC(CC)c1cc(C)nn2c(I)c(C)nc12.Cc1ccc2sc(B(O)O)c(C)c2c1>>CCC(CC)c1cc(C)nn2c(-c3sc4ccc(C)cc4c3C)c(C)nc12,[Pd].[Pd],COCCOC,O,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,[Ba+2].[OH-].[OH-],90.0,test
COc1ncc(I)c(OC)n1.OB(O)c1cccnc1Cl>>COc1ncc(-c2cccnc2Cl)c(OC)n1,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCO,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],100.0,test
Cc1cc(B(O)O)ccn1.O=c1ccc2cc3c(Br)nn(C(c4ccccc4)(c4ccccc4)c4ccccc4)c3cc2[nH]1>>Cc1cc(-c2nn(C(c3ccccc3)(c3ccccc3)c3ccccc3)c3cc4[nH]c(=O)ccc4cc23)ccn1,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],63.1,test
CC1CN(C(=O)OC(C)(C)C)Cc2scc(Br)c2O1.OB(O)c1ccccc1F>>CC1CN(C(=O)OC(C)(C)C)Cc2scc(-c3ccccc3F)c2O1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,COCCOC,O,,O=C([O-])[O-].[K+].[K+],95.9,train
CCCc1cc(I)nc(C#N)n1.OB(O)c1cc(C(F)(F)F)ccc1Cl>>CCCc1cc(-c2cc(C(F)(F)F)ccc2Cl)nc(C#N)n1,[Pd],Cc1ccccc1,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],58.0,test
CC(=O)c1sccc1Br.COc1ccc(B(O)O)cc1>>COc1ccc(-c2ccsc2C(C)=O)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,,O=C([O-])[O-].[Na+].[Na+],45.1,train
CN(Cc1cc(Br)n(S(=O)(=O)c2cccnc2)c1)C(=O)OC(C)(C)C.OB(O)c1ccsc1>>CN(Cc1cc(-c2ccsc2)n(S(=O)(=O)c2cccnc2)c1)C(=O)OC(C)(C)C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[Na+].[Na+],80.95,train
Cc1c(S(=O)(=O)Nc2ccc(Br)cc2C(F)(F)F)n(C)c2ccc(F)cc12.OB(O)c1ccncc1>>Cc1c(S(=O)(=O)Nc2ccc(-c3ccncc3)cc2C(F)(F)F)n(C)c2ccc(F)cc12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,COCCOC,,O=C([O-])[O-].[Na+].[Na+],58.2,test
CNc1ccncc1Br.Cc1ccccc1B(O)O>>CNc1ccncc1-c1ccccc1C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,Cc1ccccc1,,,O=C([O-])[O-].[Na+].[Na+],12.15,train
CCCCNc1ccc2ncc(Br)n2n1.O=Cc1ccc(B(O)O)c(F)c1>>CCCCNc1ccc2ncc(-c3ccc(C=O)cc3F)n2n1,Cl[Pd]Cl,COCCOC,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],64.0,test
O=C(O)c1ccc2cncc(Br)c2c1.OB(O)c1ccc(Cl)cc1>>O=C(O)c1ccc2cncc(-c3ccc(Cl)cc3)c2c1,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Cs+].[Cs+],87.2,test
CC(C)(C)OC(=O)N1CCN(c2ccccc2Br)CC1.COc1ncc(B(O)O)cn1>>COc1ncc(-c2ccccc2N2CCN(C(=O)OC(C)(C)C)CC2)cn1,Cl[Pd]Cl,CN(C)C=O,O,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],54.05,test
COC(=O)c1cc(Br)oc1C.OB(O)c1cccc(Cl)c1>>COC(=O)c1cc(-c2cccc(Cl)c2)oc1C,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[Na+].[Na+],91.65,train
COC(=O)CN(Cc1ccc(OC)cc1OC)Cc1c(Br)coc1C(=O)OC.OB(O)c1ccccc1>>COC(=O)CN(Cc1ccc(OC)cc1OC)Cc1c(-c2ccccc2)coc1C(=O)OC,Cl[Pd]Cl,CCOC(C)=O,CN(C)C=O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],64.6,test
CCOC(=O)Cc1cccc(NC(=O)c2ccc(Br)o2)c1.CN(C)c1ccc(B(O)O)cc1>>CCOC(=O)Cc1cccc(NC(=O)c2ccc(-c3ccc(N(C)C)cc3)o2)c1,CC(=O)[O-].CC(=O)[O-].[Pd+2],O,,,O=C([O-])[O-].[K+].[K+],74.0,test
Clc1cc(I)c(Br)cn1.OB(O)c1ccc(Cl)cc1>>Clc1ccc(-c2cc(Cl)ncc2Br)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[K+].[K+],70.7,train
CC1CCCN1CCc1nc2cc(Br)ccc2s1.N#Cc1ccc(B(O)O)cc1>>CC1CCCN1CCc1nc2cc(-c3ccc(C#N)cc3)ccc2s1,[Pd].[Pd],Cc1ccccc1,,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,O=C([O-])[O-].O=C([O-])[O-].[Cs+].[Cs+].[Cs+].[F-].[F-].[K+].[K+].[K+],31.5,test
Brc1cccc2[nH]ccc12.OB(O)c1ccccc1Cl>>Clc1ccccc1-c1cccc2[nH]ccc12,[Pd],C1CCOC1,CCOC(C)=O,,[Na+].[OH-],37.9,train
FC(F)(F)c1cc(I)c2c(c1)ncn2-c1ccccc1.OB(O)c1ccccc1>>FC(F)(F)c1cc(-c2ccccc2)c2c(c1)ncn2-c1ccccc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,O,,O=C([O-])[O-].[K+].[K+],47.15,train
CC(=O)OCc1c(B(O)O)ccnc1N1CCc2c(cc3n2CCCC3)C1=O.CN1CC(c2ccc(Nc3cc(Br)cn(C)c3=O)nc2)C1>>CC(=O)OCc1c(-c2cc(Nc3ccc(C4CN(C)C4)cn3)c(=O)n(C)c2)ccnc1N1CCc2c(cc3n2CCCC3)C1=O,Cl[Pd]Cl,CC#N,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],40.0,test
Cn1c(C#N)ccc1B(O)O.NS(=O)(=O)c1ccc(Br)cc1>>Cn1c(C#N)ccc1-c1ccc(S(N)(=O)=O)cc1,[Pd].[Pd],,,CC(C)(C)P(C(C)(C)C)C(C)(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,[F-].[K+],36.4,test
O=C(OCc1ccccc1)N1CCC[C@H]1c1cn2cccc(Br)c2n1.OB(O)c1ccccc1C(F)(F)F>>O=C(OCc1ccccc1)N1CCC[C@H]1c1cn2cccc(-c3ccccc3C(F)(F)F)c2n1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,O=C([O-])[O-].[K+].[K+],80.95,train
CS(=O)(=O)c1cccc(B(O)O)c1.Clc1nc(N2CCOCC2)c2ccc(Br)cc2n1>>CS(=O)(=O)c1cccc(-c2ccc3c(N4CCOCC4)nc(Cl)nc3c2)c1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,CN(C)C=O,O,,O=C([O-])[O-].[Na+].[Na+],67.5,train
CS(=O)(=O)c1ccc(B(O)O)cc1.CSc1ncnc2c(Br)csc12>>CSc1ncnc2c(-c3ccc(S(C)(=O)=O)cc3)csc12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,,O=C([O-])[O-].[Na+].[Na+],77.3,train
CC(C)CCn1ccc(-c2ccn3ncc(Br)c3n2)cc1=O.COc1ncccc1B(O)O>>COc1ncccc1-c1cnn2ccc(-c3ccn(CCC(C)C)c(=O)c3)nc12,CC(=O)[O-].CC(=O)[O-].[Pd+2],C1COCCO1,O,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,O=C([O-])[O-].[K+].[K+],35.1,test
Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(Br)cn23)ccc1C(=O)NC1CC1.OCc1ccccc1B(O)O>>Cc1cc(-c2cnc3c(NCCC(F)(F)F)cc(-c4ccccc4CO)cn23)ccc1C(=O)NC1CC1,Cl[Pd]Cl,CN1CCCC1=O,,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],55.85,test
Cc1noc(C)c1B(O)O.NC(=O)c1cnc2cc(Br)ccc2c1Cl>>Cc1noc(C)c1-c1ccc2c(Cl)c(C(N)=O)cnc2c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[K+].[K+],71.0,train
COC(=O)c1ccccc1B(O)O.O=[N+]([O-])c1cc(Br)cnc1Br>>COC(=O)c1ccccc1-c1ncc(Br)cc1[N+](=O)[O-],Cl[Pd]Cl,C1CCOC1,ClCCl,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],46.0,test
CC(C)Oc1ccc(B(O)O)cc1Cl.O=Cc1cn(C2CCCCO2)nc1I>>CC(C)Oc1ccc(-c2nn(C3CCCCO3)cc2C=O)cc1Cl,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[K+].[K+],87.9,test
O=C(Nc1cccnc1)c1n[nH]c2ccc(Br)cc12.OB(O)c1cncc(F)c1>>O=C(Nc1cccnc1)c1n[nH]c2ccc(-c3cncc(F)c3)cc12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,O,,O=P([O-])([O-])[O-].[K+].[K+].[K+],1.8,train
O=C(Nc1ccccc1)c1cn2cc(I)ccc2n1.OB(O)c1cc[nH]n1>>O=C(Nc1ccccc1)c1cn2cc(-c3cc[nH]n3)ccc2n1,Cl[Pd]Cl,C1COCCO1,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Cs+].[Cs+],16.0,test
CC(O)c1oc(=O)c2ccccc2c1Br.Cc1cc(B(O)O)ccn1>>Cc1cc(-c2c(C(C)O)oc(=O)c3ccccc23)ccn1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,O=C([O-])[O-].[Cs+].[Cs+],47.9,train
N#Cc1cc(I)c2c(c1)ncn2-c1ccccc1.OB(O)c1cccc(F)c1>>N#Cc1cc(-c2cccc(F)c2)c2c(c1)ncn2-c1ccccc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,Cc1ccccc1,,O=C([O-])[O-].[K+].[K+],42.9,test
CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1.OB(O)c1ccc(OCc2cccc(F)c2)cc1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(OCc3cccc(F)c3)cc2)c1N1CCC(C)(C)CC1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,,,O=C([O-])[O-].[Na+].[Na+],64.6,train
CC1(C)Cc2ccc(Br)cc2C2(C1)N=C(N)N(CC(F)(F)F)C2=O.OB(O)c1cncnc1>>CC1(C)Cc2ccc(-c3cncnc3)cc2C2(C1)N=C(N)N(CC(F)(F)F)C2=O,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[Na+].[Na+],47.3,train
CCOC(=O)CNC(=O)c1c(O)c(Br)cc2nccnc12.OB(O)c1csc2ccccc12>>CCOC(=O)CNC(=O)c1c(O)c(-c2csc3ccccc23)cc2nccnc12,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[K+].[K+],40.5,train
Brc1cnc2ccc(NC3CCCCC3)nn12.NCc1ccc(B(O)O)cc1>>NCc1ccc(-c2cnc3ccc(NC4CCCCC4)nn23)cc1,Cl[Pd]Cl,COCCOC,O,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=P([O-])([O-])[O-].[K+].[K+].[K+],43.95,test
CC(C)Cn1nc2c(-c3ccc(Cl)cc3)c(Br)ccn2c1=O.OB(O)c1ccc(Cl)cc1Cl>>CC(C)Cn1nc2c(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3Cl)ccn2c1=O,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,O,,O=C([O-])[O-].[K+].[K+],32.0,train
COc1c(Br)ccc(B(O)O)c1F.Nc1cnc(Br)cn1>>COc1c(Br)ccc(-c2cnc(N)cn2)c1F,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,Cc1ccccc1,,O=C([O-])[O-].[Na+].[Na+],43.25,train
Nc1ncccc1Br.OB(O)c1ccccc1>>Nc1ncccc1-c1ccccc1,Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1,C1COCCO1,O,,O=C([O-])O.[Na+],70.9,train
CC(=O)Nc1cc(-c2[nH]c3c(CO)ccnc3c2I)ccn1.COc1ccc(B(O)O)cn1>>COc1ccc(-c2c(-c3ccnc(NC(C)=O)c3)[nH]c3c(CO)ccnc23)cn1,Cl[Pd]Cl,C1COCCO1,,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],39.6,test
COc1ccc(B(O)O)cc1.Nc1ccc(S(=O)(=O)c2cc(Br)nc(N3CCCC3)c2)cc1>>COc1ccc(-c2cc(S(=O)(=O)c3ccc(N)cc3)cc(N3CCCC3)n2)cc1,Cl[Pd]Cl,Cc1ccccc1,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[K+].[K+],70.4,test
CCC(CC)c1cc(C)nn2c(-c3sc(Br)cc3Cl)c(C)nc12.OB(O)c1ccc(F)cc1>>CCC(CC)c1cc(C)nn2c(-c3sc(-c4ccc(F)cc4)cc3Cl)c(C)nc12,CC(=O)[O-].CC(=O)[O-].[Pd+2],CCCO,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],15.85,test
Clc1ccc(Br)s1.O=Cc1ccc(B(O)O)s1>>O=Cc1ccc(-c2ccc(Cl)s2)s1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCO,,,O=C([O-])[O-].[Na+].[Na+],23.8,train
CNC(=O)c1ccc(B(O)O)cc1.COc1ccc(Cn2nc(I)c3c(Oc4ccc(NC(=O)C5CCN(C)C5=O)cc4F)ccnc32)cc1>>CNC(=O)c1ccc(-c2nn(Cc3ccc(OC)cc3)c3nccc(Oc4ccc(NC(=O)C5CCN(C)C5=O)cc4F)c23)cc1,[Pd],COCCOC,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],53.4,test
COC(=O)c1cc(Br)nc2c1[nH]c1cccc(OCc3ccccc3)c12.OB(O)c1ccccc1>>COC(=O)c1cc(-c2ccccc2)nc2c1[nH]c1cccc(OCc3ccccc3)c12,CC(=O)[O-].CC(=O)[O-].[Pd+2],,,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,O=P([O-])([O-])[O-].[K+].[K+].[K+],93.85,test
Cn1ccc2cc(B(O)O)ccc21.O=C(OCc1ccccc1)c1c(OCc2ccccc2)nc(Br)c(O)c1OCc1ccccc1>>Cn1ccc2cc(-c3nc(OCc4ccccc4)c(C(=O)OCc4ccccc4)c(OCc4ccccc4)c3O)ccc21,[Pd].[Pd],C1CCOC1,,CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1,[F-].[K+],89.25,test
O=C(O)C1(CS(=O)(=O)c2ccc(Oc3ccc(Br)cc3)cc2)CCOCC1.OB(O)c1cccs1>>O=C(O)C1(CS(=O)(=O)c2ccc(Oc3ccc(-c4cccs4)cc3)cc2)CCOCC1,[Pd],CN(C)C=O,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],93.85,test
C[C@H](Nc1nccc(-n2cnc3ccc(I)cc32)n1)c1ccccc1.OB(O)c1cccc2ccccc12>>C[C@H](Nc1nccc(-n2cnc3ccc(-c4cccc5ccccc45)cc32)n1)c1ccccc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,CCCO,O,,O=C([O-])[O-].[K+].[K+],87.9,test
CC(C)(C)[Si](C)(C)OCCOc1ccc(C=O)nc1Br.CS(=O)(=O)c1ccc(B(O)O)cc1>>CC(C)(C)[Si](C)(C)OCCOc1ccc(C=O)nc1-c1ccc(S(C)(=O)=O)cc1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,,,,O=C([O-])[O-].[Na+].[Na+],58.85,train
COC(=O)c1cc(Oc2ccc(Br)cc2)cc(OC(C)C)c1.Cc1noc(C)c1B(O)O>>COC(=O)c1cc(Oc2ccc(-c3c(C)noc3C)cc2)cc(OC(C)C)c1,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,,O=C([O-])[O-].[Na+].[Na+],43.0,train
COc1ccc(B(O)O)cn1.Nc1cc(Cl)c(Br)c(Cl)c1>>COc1ccc(-c2c(Cl)cc(N)cc2Cl)cn1,Cl[Pd]Cl,,,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],73.8,test
CC(C)(C)OC(=O)Nc1cncc(F)c1I.OB(O)c1ccccc1>>CC(C)(C)OC(=O)Nc1cncc(F)c1-c1ccccc1,Cl[Pd]Cl,C1COCCO1,Cc1ccccc1,[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,O=C([O-])[O-].[Na+].[Na+],89.85,test
